"DateTime";"Gold/Silver"
"1693-12-31 00:00:28";14,83
"1694-12-31 00:00:28";14,87
"1695-12-31 00:00:28";15,02
"1696-12-31 00:00:28";15
"1697-12-31 00:00:28";15,2
"1698-12-31 00:00:28";15,07
"1699-12-31 00:00:28";14,94
"1700-12-31 00:00:28";14,81
"1701-12-31 00:00:28";15,07
"1702-12-31 00:00:28";15,52
"1703-12-31 00:00:28";15,17
"1704-12-31 00:00:28";15,22
"1705-12-31 00:00:28";15,11
"1706-12-31 00:00:28";15,27
"1707-12-31 00:00:28";15,44
"1708-12-31 00:00:28";15,41
"1709-12-31 00:00:28";15,31
"1710-12-31 00:00:28";15,22
"1711-12-31 00:00:28";15,29
"1712-12-31 00:00:28";15,31
"1713-12-31 00:00:28";15,24
"1714-12-31 00:00:28";15,13
"1715-12-31 00:00:28";15,11
"1716-12-31 00:00:28";15,09
"1717-12-31 00:00:28";15,13
"1718-12-31 00:00:28";15,11
"1719-12-31 00:00:28";15,09
"1720-12-31 00:00:28";15,04
"1721-12-31 00:00:28";15,05
"1722-12-31 00:00:28";15,17
"1723-12-31 00:00:28";15,2
"1724-12-31 00:00:28";15,11
"1725-12-31 00:00:28";15,11
"1726-12-31 00:00:28";15,15
"1727-12-31 00:00:28";15,24
"1728-12-31 00:00:28";15,11
"1729-12-31 00:00:28";14,92
"1730-12-31 00:00:28";14,81
"1731-12-31 00:00:28";14,94
"1732-12-31 00:00:28";15,09
"1733-12-31 00:00:28";15,18
"1734-12-31 00:00:28";15,39
"1735-12-31 00:00:28";15,41
"1736-12-31 00:00:28";15,18
"1737-12-31 00:00:28";15,02
"1738-12-31 00:00:28";14,91
"1739-12-31 00:00:28";14,91
"1740-12-31 00:00:28";14,94
"1741-12-31 00:00:28";14,92
"1742-12-31 00:00:28";14,85
"1743-12-31 00:00:28";14,85
"1744-12-31 00:00:28";14,87
"1745-12-31 00:00:28";14,98
"1746-12-31 00:00:28";15,13
"1747-12-31 00:00:28";15,26
"1748-12-31 00:00:28";15,11
"1749-12-31 00:00:28";14,8
"1750-12-31 00:00:28";14,55
"1751-12-31 00:00:28";14,39
"1752-12-31 00:00:28";14,5
"1753-12-31 00:00:28";14,54
"1754-12-31 00:00:28";14,48
"1755-12-31 00:00:28";14,68
"1756-12-31 00:00:28";14,94
"1757-12-31 00:00:28";14,87
"1758-12-31 00:00:28";14,85
"1759-12-31 00:00:28";14,15
"1760-12-31 00:00:28";14,14
"1761-12-31 00:00:28";14,54
"1762-12-31 00:00:28";15,27
"1763-12-31 00:00:28";14,99
"1764-12-31 00:00:28";14,7
"1765-12-31 00:00:28";14,83
"1766-12-31 00:00:28";14,8
"1767-12-31 00:00:28";14,85
"1768-12-31 00:00:28";14,8
"1769-12-31 00:00:28";14,72
"1770-12-31 00:00:28";14,62
"1771-12-31 00:00:28";14,66
"1772-12-31 00:00:28";14,52
"1773-12-31 00:00:28";14,62
"1774-12-31 00:00:28";14,62
"1775-12-31 00:00:28";14,72
"1776-12-31 00:00:28";14,55
"1777-12-31 00:00:28";14,54
"1778-12-31 00:00:28";14,68
"1779-12-31 00:00:28";14,8
"1780-12-31 00:00:28";14,72
"1781-12-31 00:00:28";14,78
"1782-12-31 00:00:28";14,42
"1783-12-31 00:00:28";14,48
"1784-12-31 00:00:28";14,7
"1785-12-31 00:00:28";14,92
"1786-12-31 00:00:28";14,96
"1787-12-31 00:00:28";14,92
"1788-12-31 00:00:28";14,65
"1789-12-31 00:00:28";14,75
"1790-12-31 00:00:28";15,04
"1791-12-31 00:00:28";15,05
"1792-12-31 00:00:28";15,17
"1793-12-31 00:00:28";15
"1794-12-31 00:00:28";15,37
"1795-12-31 00:00:28";15,55
"1796-12-31 00:00:28";15,65
"1797-12-31 00:00:28";15,41
"1798-12-31 00:00:28";15,59
"1799-12-31 00:00:28";15,74
"1800-12-31 00:00:28";15,68
"1801-12-31 00:00:28";15,46
"1802-12-31 00:00:28";15,26
"1803-12-31 00:00:28";15,41
"1804-12-31 00:00:28";15,41
"1805-12-31 00:00:28";15,79
"1806-12-31 00:00:28";15,52
"1807-12-31 00:00:28";15,43
"1808-12-31 00:00:28";16,08
"1809-12-31 00:00:28";15,96
"1810-12-31 00:00:28";15,77
"1811-12-31 00:00:28";15,53
"1812-12-31 00:00:28";16,11
"1813-12-31 00:00:28";16,25
"1814-12-31 00:00:28";15,04
"1815-12-31 00:00:28";15,26
"1816-12-31 00:00:28";15,28
"1817-12-31 00:00:28";15,11
"1818-12-31 00:00:28";15,35
"1819-12-31 00:00:28";15,33
"1820-12-31 00:00:28";15,62
"1821-12-31 00:00:28";15,95
"1822-12-31 00:00:28";15,8
"1823-12-31 00:00:28";15,84
"1824-12-31 00:00:28";15,82
"1825-12-31 00:00:28";15,7
"1826-12-31 00:00:28";15,76
"1827-12-31 00:00:28";15,74
"1828-12-31 00:00:28";15,78
"1829-12-31 00:00:28";15,78
"1830-12-31 00:00:28";15,82
"1831-12-31 00:00:28";15,72
"1832-12-31 00:00:28";15,73
"1833-12-31 00:00:28";15,93
"1834-12-31 00:00:28";15,73
"1835-12-31 00:00:28";15,8
"1836-12-31 00:00:28";15,72
"1837-12-31 00:00:28";15,83
"1838-12-31 00:00:28";15,85
